model,protocol,fold,seed,git_commit,git_dirty,params,size_mb,train_time_s,epochs_run,best_epoch,threshold,val_f1,precision,recall,f1,pr_auc,roc_auc,balanced_accuracy,accuracy,tn,fp,fn,tp,event_recall,event_recall_localized,false_alarms_per_adl_video,false_alarms_per_hour
gru,cv,3,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,117.39621031799993,29,19,0.17410190403461456,0.7000000000000001,0.3382352941176471,1.0,0.5054945054945055,0.620390991714932,0.9216073781291172,0.8863636363636364,0.7963800904977375,153,45,0,23,1.0,1.0,0.625,304.2253521126761
gru,cv,3,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,101.83055746499986,25,15,0.9100741147994995,0.7796610169491526,0.37254901960784315,0.8260869565217391,0.5135135135135135,0.3857547602841782,0.9036012296881862,0.8322353974527887,0.8371040723981901,166,32,4,19,1.0,1.0,1.0,486.7605633802817
gru,cv,4,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,109.1882813430002,29,19,0.8569052815437317,0.7407407407407407,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9649045399354462,0.9919050188882893,0.8947652455477604,0.9682539682539683,217,1,7,27,1.0,1.0,0.125,59.178082191780824
gru,cv,4,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,52.57282271200006,14,4,0.6660210490226746,0.7659574468085106,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8739144139799728,0.9691041554236373,0.8483540205072855,0.9523809523809523,216,2,10,24,1.0,1.0,0.25,118.35616438356165
gru,cv,4,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,111.69698557299989,30,20,0.7523420453071594,0.7796610169491525,0.75,0.7941176470588235,0.7714285714285715,0.9030450504912313,0.975580140313006,0.8764166216945494,0.9365079365079365,209,9,7,27,1.0,1.0,0.75,355.0684931506849
gru,fixed,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,73.18026492199988,18,8,0.0317314937710762,0.6461538461538461,0.5909090909090909,0.8666666666666667,0.7027027027027029,0.9025360470572181,0.9736936936936937,0.8846846846846848,0.8976744186046511,167,18,4,26,1.0,1.0,0.5,265.03067484662574
gru,fixed,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,65.5738460739999,16,6,0.05849489942193031,0.6349206349206349,0.52,0.8666666666666667,0.65,0.8480626656433107,0.9497297297297297,0.8684684684684685,0.8697674418604651,161,24,4,26,1.0,1.0,0.875,463.80368098159505
gru,fixed,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,19330,0.079997,199.097597209,48,38,0.006562415044754744,0.5454545454545455,0.5208333333333334,0.8333333333333334,0.6410256410256411,0.7715774227679812,0.9037837837837838,0.8545045045045045,0.8697674418604651,162,23,5,25,1.0,1.0,0.875,463.80368098159505
lstm,cv,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,40.537521695999885,29,19,0.9997794032096863,0.9310344827586207,0.6428571428571429,0.6206896551724138,0.6315789473684211,0.7685508849852635,0.8948574845525215,0.7814430934821607,0.8960396039603961,163,10,11,18,0.8333333333333334,0.8333333333333334,0.375,201.86915887850466
lstm,cv,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,41.03851256799999,30,20,0.9011932015419006,0.9259259259259259,0.7857142857142857,0.7586206896551724,0.7719298245614034,0.8161145687540611,0.8923659557504483,0.8619693043651584,0.9356435643564357,167,6,7,22,1.0,1.0,0.375,201.86915887850466
lstm,cv,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,20.79531881900016,15,5,0.895615816116333,0.8846153846153846,0.7222222222222222,0.4482758620689655,0.5531914893617021,0.6343020064721525,0.857683874825593,0.7096870639824596,0.8960396039603961,168,5,16,13,0.8333333333333334,0.8333333333333334,0.25,134.57943925233644
lstm,cv,1,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,16.32941626799993,14,4,0.14990662038326263,0.9696969696969697,0.3877551020408163,0.6785714285714286,0.4935064935064935,0.4405885183045044,0.8384498480243161,0.7754559270516718,0.8517110266159695,205,30,9,19,1.0,1.0,0.75,330.6122448979592
lstm,cv,1,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,21.962324829999943,19,9,0.9956551790237427,0.8695652173913043,0.4444444444444444,0.5714285714285714,0.5,0.38890973673510587,0.8550151975683892,0.743161094224924,0.8783269961977186,215,20,12,16,0.6666666666666666,0.6666666666666666,0.5,220.40816326530614
lstm,cv,1,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,16.653017085999863,14,4,0.49019208550453186,0.8955223880597014,0.35555555555555557,0.5714285714285714,0.4383561643835616,0.40813559253466936,0.8641337386018237,0.7240121580547112,0.844106463878327,206,29,12,16,0.8333333333333334,0.8333333333333334,0.75,330.6122448979592
lstm,cv,2,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,24.714758534999874,19,9,0.15115629136562347,0.851851851851852,0.6756756756756757,0.7575757575757576,0.7142857142857142,0.5531123231394349,0.8946218946218947,0.8517608517608517,0.9215686274509803,210,12,8,25,0.8333333333333334,0.8333333333333334,0.375,182.43243243243242
lstm,cv,2,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,34.539927001000024,27,17,0.9545930027961731,0.851851851851852,0.6153846153846154,0.7272727272727273,0.6666666666666667,0.5743456312748698,0.8661616161616162,0.8298525798525799,0.9058823529411765,207,15,9,24,0.8333333333333334,0.8333333333333334,0.625,304.054054054054
lstm,cv,2,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,38.002515625000115,30,20,0.7647885084152222,0.888888888888889,0.6410256410256411,0.7575757575757576,0.6944444444444444,0.5584435601094081,0.8875921375921376,0.8472563472563472,0.9137254901960784,208,14,8,25,0.8333333333333334,0.8333333333333334,0.25,121.62162162162161
lstm,cv,3,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,20.621387959999993,16,6,0.2267199009656906,0.7142857142857142,0.2909090909090909,0.6956521739130435,0.41025641025641024,0.32589491586169356,0.8601229688186209,0.7493412384716732,0.7918552036199095,159,39,7,16,0.6666666666666666,0.6666666666666666,0.75,365.07042253521126
lstm,cv,3,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,37.412046020999924,29,19,0.1412864327430725,0.7249999999999999,0.3508771929824561,0.8695652173913043,0.4999999999999999,0.6209189426125485,0.9183135704874836,0.8413482652613087,0.8190045248868778,161,37,3,20,1.0,1.0,0.875,425.9154929577465
lstm,cv,3,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,29.0090943780001,22,12,0.9824095964431763,0.8059701492537312,0.3050847457627119,0.782608695652174,0.4390243902439025,0.5308872142584385,0.8893280632411067,0.7877689942907334,0.7918552036199095,157,41,5,18,0.8333333333333334,0.8333333333333334,0.75,365.07042253521126
lstm,cv,4,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,17.60748900900012,15,5,0.9406967759132385,0.7058823529411765,0.78125,0.7352941176470589,0.7575757575757576,0.8917046541486101,0.9699136535348084,0.8515920129519698,0.9365079365079365,211,7,9,25,1.0,1.0,0.375,177.53424657534245
lstm,cv,4,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,19.08417681500009,16,6,0.9834803938865662,0.7058823529411765,1.0,0.7352941176470589,0.8474576271186441,0.9255770817931388,0.9708580679978412,0.8676470588235294,0.9642857142857143,218,0,9,25,1.0,1.0,0.0,0.0
lstm,cv,4,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,24.784624847000032,21,11,0.9990360736846924,0.6829268292682926,0.9047619047619048,0.5588235294117647,0.6909090909090908,0.8613238754795832,0.965866162978953,0.7748246087425796,0.9325396825396826,216,2,15,19,1.0,1.0,0.25,118.35616438356165
lstm,fixed,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,18.14590407700007,13,3,0.03183140233159065,0.608695652173913,0.48214285714285715,0.9,0.627906976744186,0.8357585677937466,0.9526126126126127,0.8716216216216217,0.8511627906976744,156,29,3,27,1.0,1.0,1.0,530.0613496932515
lstm,fixed,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,23.899714108000126,17,7,0.08530346304178238,0.7017543859649122,0.6571428571428571,0.7666666666666667,0.7076923076923077,0.8451129155286953,0.938918918918919,0.850900900900901,0.9116279069767442,173,12,7,23,1.0,1.0,0.375,198.7730061349693
lstm,fixed,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,25730,0.105597,18.355448188000082,13,3,0.07904917746782303,0.6333333333333334,0.6153846153846154,0.8,0.6956521739130435,0.8432401046360368,0.9540540540540541,0.8594594594594596,0.9023255813953488,170,15,6,24,0.8333333333333334,0.8333333333333334,0.5,265.03067484662574
lstm_attention,cv,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,72.47522975999982,34,24,0.0027674036100506783,0.9333333333333333,0.6060606060606061,0.6896551724137931,0.6451612903225807,0.7528510345301082,0.8756228822005183,0.8072553318716365,0.8910891089108911,160,13,9,20,1.0,1.0,0.875,471.02803738317755
lstm_attention,cv,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,54.01634835899995,25,15,0.5784182548522949,0.8928571428571429,0.6666666666666666,0.6896551724137931,0.6779661016949153,0.7830483935455558,0.9019334263504086,0.8159258521028503,0.905940594059406,163,10,9,20,1.0,1.0,0.5,269.1588785046729
lstm_attention,cv,0,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,88.76136716700012,40,30,0.9996554851531982,0.9090909090909091,0.7222222222222222,0.4482758620689655,0.5531914893617021,0.6933598173404741,0.877018138329679,0.7096870639824596,0.8960396039603961,168,5,16,13,0.6666666666666666,0.6666666666666666,0.25,134.57943925233644
lstm_attention,cv,1,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,26.610550911000246,14,4,0.0754886344075203,0.955223880597015,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.4220777617296878,0.8352583586626141,0.7363221884498481,0.8098859315589354,195,40,10,18,1.0,1.0,0.625,275.5102040816327
lstm_attention,cv,1,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,25.407548812000186,13,3,0.7591108083724976,0.9393939393939394,0.3953488372093023,0.6071428571428571,0.4788732394366197,0.5294097901978653,0.8607902735562311,0.7482522796352583,0.8593155893536122,209,26,11,17,0.8333333333333334,0.8333333333333334,0.5,220.40816326530614
lstm_attention,cv,1,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,45.34809330600001,24,14,0.08136928826570511,0.9275362318840579,0.44680851063829785,0.75,0.56,0.45283580307777593,0.9164893617021278,0.8196808510638298,0.8745247148288974,209,26,7,21,1.0,1.0,1.0,440.8163265306123
lstm_attention,cv,2,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,31.072851950000313,15,5,0.9458191394805908,0.830188679245283,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.566576938394347,0.9024024024024023,0.8433660933660934,0.9294117647058824,213,9,9,24,0.8333333333333334,0.8333333333333334,0.25,121.62162162162161
lstm_attention,cv,2,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,31.060046401999898,15,5,0.3726077675819397,0.7999999999999999,0.5714285714285714,0.7272727272727273,0.64,0.6693233073729159,0.8828828828828829,0.8230958230958232,0.8941176470588236,204,18,9,24,0.8333333333333334,0.8333333333333334,0.625,304.054054054054
lstm_attention,cv,2,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,39.82858917900012,19,9,0.12017989903688431,0.8275862068965517,0.6190476190476191,0.7878787878787878,0.6933333333333334,0.5443060183395299,0.8782418782418783,0.8579033579033579,0.9098039215686274,206,16,7,26,0.8333333333333334,0.8333333333333334,0.375,182.43243243243242
lstm_attention,cv,3,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,55.99731413000018,26,16,0.5526575446128845,0.7042253521126761,0.32075471698113206,0.7391304347826086,0.4473684210526316,0.614440602875605,0.9050285463328942,0.7786561264822134,0.8099547511312217,162,36,6,17,0.8333333333333334,0.8333333333333334,1.125,547.6056338028169
lstm_attention,cv,3,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,51.99069099399958,24,14,0.09638122469186783,0.763157894736842,0.328125,0.9130434782608695,0.4827586206896551,0.571494933745452,0.9094202898550725,0.8479358805445762,0.7963800904977375,155,43,2,21,1.0,1.0,1.25,608.4507042253522
lstm_attention,cv,3,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,37.34710414000028,17,7,0.41801854968070984,0.823529411764706,0.328125,0.9130434782608695,0.4827586206896551,0.5034582976627036,0.89877031181379,0.8479358805445762,0.7963800904977375,155,43,2,21,1.0,1.0,0.875,425.9154929577465
lstm_attention,cv,4,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,58.89955096099993,31,21,0.9999710321426392,0.782608695652174,1.0,0.4411764705882353,0.6122448979591837,0.9227287221204044,0.9693739881273611,0.7205882352941176,0.9246031746031746,218,0,19,15,1.0,1.0,0.0,0.0
lstm_attention,cv,4,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,38.35269137500018,20,10,0.9933702945709229,0.76,0.9259259259259259,0.7352941176470589,0.819672131147541,0.9282838627689378,0.9774689692390718,0.8630599028602267,0.9563492063492064,216,2,9,25,1.0,1.0,0.125,59.178082191780824
lstm_attention,cv,4,2,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,38.982225924999966,21,11,0.9985300302505493,0.72,0.8333333333333334,0.7352941176470589,0.78125,0.874289231878451,0.9654614139233675,0.8561791689152726,0.9444444444444444,213,5,9,25,1.0,1.0,0.25,118.35616438356165
lstm_attention,fixed,0,0,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,26.750017741000192,13,3,0.03285243734717369,0.6197183098591549,0.4909090909090909,0.9,0.6352941176470589,0.8465124332035111,0.9540540540540541,0.8743243243243244,0.8558139534883721,157,28,3,27,1.0,1.0,0.75,397.5460122699386
lstm_attention,fixed,0,1,b05f48f3389869cb3df39e1d810d784b6a9f0111,False,29955,0.123429,60.259677497999746,29,19,0.0013089422136545181,0.5526315789473685,0.48148148148148145,0.8666666666666667,0.6190476190476191,0.7564227620030071,0.9302702702702703,0.8576576576576577,0.8511627906976744,157,28,4,26,1.0,1.0,1.0,530.0613496932515
